Generated_File_Name 	Parent_Folder 	Original_File_Name 	Segment_Index
00001.wav	 20171104-1	 200959	 50
00002.wav	 20171104-1	 200959	 120
00003.wav	 20171104-1	 200959	 28
00004.wav	 20171104-1	 200959	 15
00005.wav	 20171104-1	 200959	 86
00006.wav	 20171104-1	 200959	 38
00007.wav	 20171104-1	 200959	 48
00008.wav	 20171104-1	 200959	 84
00009.wav	 20171104-1	 200959	 89
00010.wav	 20171104-1	 200959	 25
00011.wav	 20171104-1	 200959	 30
00012.wav	 20171104-1	 200959	 29
00013.wav	 20171104-1	 200959	 33
00014.wav	 20171104-1	 200959	 17
00015.wav	 20171104-1	 200959	 18
00016.wav	 20171104-1	 200959	 24
00017.wav	 20171104-1	 200959	 55
00018.wav	 20171104-1	 200959	 60
00019.wav	 20171104-1	 200959	 116
00020.wav	 20171104-1	 200959	 71
00021.wav	 20171104-1	 200959	 6
00022.wav	 20171104-1	 200959	 53
00023.wav	 20171104-1	 200959	 62
00024.wav	 20171104-1	 200959	 72
00025.wav	 20171104-1	 200959	 66
00026.wav	 20171104-1	 200959	 57
00027.wav	 20171104-1	 200959	 100
00028.wav	 20171104-1	 200959	 74
00029.wav	 20171104-1	 200959	 31
00030.wav	 20171104-1	 200959	 95
00031.wav	 20171104-1	 200959	 43
00032.wav	 20171104-1	 200959	 2
00033.wav	 20171104-1	 200959	 10
00034.wav	 20171104-1	 200959	 61
00035.wav	 20171104-1	 200959	 114
00036.wav	 20171104-1	 200959	 40
00037.wav	 20171104-1	 200959	 1
00038.wav	 20171104-1	 200959	 109
00039.wav	 20171104-1	 200959	 12
00040.wav	 20171104-1	 200959	 20
00041.wav	 20171104-1	 200959	 112
00042.wav	 20171104-1	 200959	 73
00043.wav	 20171104-1	 200959	 75
00044.wav	 20171104-1	 200959	 122
00045.wav	 20171104-1	 200959	 8
00046.wav	 20171104-1	 200959	 126
00047.wav	 20171104-1	 200959	 106
00048.wav	 20171104-1	 200959	 69
00049.wav	 20171104-1	 200959	 80
00050.wav	 20171104-1	 200959	 39
00051.wav	 20171104-1	 200959	 41
00052.wav	 20171104-1	 200959	 124
00053.wav	 20171104-1	 200959	 104
00054.wav	 20171104-1	 200959	 108
00055.wav	 20171104-1	 200959	 93
00056.wav	 20171104-1	 200959	 107
00057.wav	 20171104-1	 200959	 83
00058.wav	 20171104-1	 200959	 101
00059.wav	 20171104-1	 200959	 119
