Generated_File_Name 	Parent_Folder 	Original_File_Name 	Segment_Index
00001.wav	 20160509-1	 123109	 54
00002.wav	 20160509-1	 123109	 17
00003.wav	 20160509-1	 123109	 9
00004.wav	 20160509-1	 123109	 53
00005.wav	 20160509-1	 123109	 34
00006.wav	 20160509-1	 123109	 45
00007.wav	 20160509-1	 123109	 15
00008.wav	 20160509-1	 123109	 1
00009.wav	 20160509-1	 123109	 3
00010.wav	 20160509-1	 123109	 27
00011.wav	 20160509-1	 123109	 32
00012.wav	 20160509-1	 123109	 40
00013.wav	 20160509-1	 123109	 2
00014.wav	 20160509-1	 123109	 14
00015.wav	 20160509-1	 123109	 46
00016.wav	 20160509-1	 123109	 26
00017.wav	 20160509-1	 123109	 4
00018.wav	 20160509-1	 123109	 31
00019.wav	 20160509-1	 123109	 33
00020.wav	 20160509-1	 123109	 5
00021.wav	 20160509-1	 123109	 36
00022.wav	 20160509-1	 123109	 11
00023.wav	 20160509-1	 123109	 12
00024.wav	 20160509-1	 123109	 10
00025.wav	 20160509-1	 123109	 38
00026.wav	 20160509-1	 123109	 43
00027.wav	 20160509-1	 123109	 28
00028.wav	 20160509-1	 123109	 25
00029.wav	 20160509-1	 123109	 51
00030.wav	 20160509-1	 123109	 48
00031.wav	 20160509-1	 123109	 24
00032.wav	 20160509-1	 123109	 44
00033.wav	 20160509-1	 123109	 47
00034.wav	 20160509-1	 123109	 22
00035.wav	 20160509-1	 123109	 35
00036.wav	 20160509-1	 123109	 52
00037.wav	 20160509-1	 123109	 50
00038.wav	 20160509-1	 123109	 29
00039.wav	 20160509-1	 123109	 55
00040.wav	 20160509-1	 123109	 21
00041.wav	 20160509-1	 123109	 8
00042.wav	 20160509-1	 123109	 41
00043.wav	 20160509-1	 123109	 16
00044.wav	 20160509-1	 123109	 19
00045.wav	 20160509-1	 123109	 42
00046.wav	 20160509-1	 123109	 37
00047.wav	 20160509-1	 123109	 7
00048.wav	 20160509-1	 123109	 39
00049.wav	 20160509-1	 123109	 49
00050.wav	 20160509-1	 123109	 6
00051.wav	 20160509-1	 123109	 18
00052.wav	 20160509-1	 123109	 20
00053.wav	 20160509-1	 123109	 13
00054.wav	 20160509-1	 123109	 30
00055.wav	 20160509-1	 123109	 23
00056.wav	 20160511-2	 2	 8
00057.wav	 20160511-2	 2	 9
00058.wav	 20160511-2	 2	 4
00059.wav	 20160511-2	 2	 2
